convention=Index[20000,30000)=小; [30000,100000)=大; 副本-*=小; else Index>=100000&&Level>=100=大 else 小
NEW [30002] 骷髅教主 大 地煞石 Amt=10 Chance=1
NEW [30002] 骷髅教主 大 天罡石 Amt=5 Chance=1
NEW [30003] 触龙神 大 地煞石 Amt=10 Chance=1
NEW [30003] 触龙神 大 天罡石 Amt=5 Chance=1
NEW [30004] 超级黑野猪 大 地煞石 Amt=10 Chance=1
NEW [30004] 超级黑野猪 大 天罡石 Amt=5 Chance=1
NEW [30005] 赤月恶魔 大 地煞石 Amt=10 Chance=1
NEW [30005] 赤月恶魔 大 天罡石 Amt=5 Chance=1
NEW [30006] 潘夜牛魔王 大 地煞石 Amt=10 Chance=1
NEW [30006] 潘夜牛魔王 大 天罡石 Amt=5 Chance=1
NEW [30007] 祖玛教主 大 地煞石 Amt=10 Chance=1
NEW [30007] 祖玛教主 大 天罡石 Amt=5 Chance=1
NEW [30009] 霸王教主 大 地煞石 Amt=10 Chance=1
NEW [30009] 霸王教主 大 天罡石 Amt=5 Chance=1
NEW [30010] 震天魔神 大 地煞石 Amt=10 Chance=1
NEW [30010] 震天魔神 大 天罡石 Amt=5 Chance=1
NEW [30011] 地天灭王 大 地煞石 Amt=10 Chance=1
NEW [30011] 地天灭王 大 天罡石 Amt=5 Chance=1
NEW [30016] 诺玛教主 大 地煞石 Amt=10 Chance=1
NEW [30016] 诺玛教主 大 天罡石 Amt=5 Chance=1
NEW [100005] 尸王0 小 地煞石 Amt=5 Chance=1
NEW [100005] 尸王0 小 天罡石 Amt=1 Chance=1
NEW [100006] 七点白蛇 小 地煞石 Amt=5 Chance=1
NEW [100006] 七点白蛇 小 天罡石 Amt=1 Chance=1
NEW [100025] 骷髅精灵11 小 地煞石 Amt=5 Chance=1
NEW [100025] 骷髅精灵11 小 天罡石 Amt=1 Chance=1
NEW [100029] 僵尸王 小 地煞石 Amt=5 Chance=1
NEW [100029] 僵尸王 小 天罡石 Amt=1 Chance=1
NEW [100031] 署箭 小 地煞石 Amt=5 Chance=1
NEW [100031] 署箭 小 天罡石 Amt=1 Chance=1
NEW [100036] 沃玛教主11 大 地煞石 Amt=10 Chance=1
NEW [100036] 沃玛教主11 大 天罡石 Amt=5 Chance=1
NEW [100568] 副本-赤月恶魔1 小 地煞石 Amt=5 Chance=1
NEW [100568] 副本-赤月恶魔1 小 天罡石 Amt=1 Chance=1
NEW [100569] 副本-沃玛教主1 小 地煞石 Amt=5 Chance=1
NEW [100569] 副本-沃玛教主1 小 天罡石 Amt=1 Chance=1
NEW [100570] 副本-霸王教主1 小 地煞石 Amt=5 Chance=1
NEW [100570] 副本-霸王教主1 小 天罡石 Amt=1 Chance=1
NEW [100571] 副本-震天魔神1 小 地煞石 Amt=5 Chance=1
NEW [100571] 副本-震天魔神1 小 天罡石 Amt=1 Chance=1
NEW [100572] 副本-地天灭王1 小 地煞石 Amt=5 Chance=1
NEW [100572] 副本-地天灭王1 小 天罡石 Amt=1 Chance=1
summary small=33 big=12 created=90 updated=0 monstersTouched=45
