装备名称,回收价格,装备类型
黑铁头盔,16500,Helmet
烈火剑法,500,Book
野蛮冲撞,500,Book
心灵启示,500,Book
群体治愈术,500,Book
召唤神兽,500,Book
魔法盾,500,Book
圣言术,500,Book
冰咆哮,500,Book
幽灵手套,7500,Bracelet
天珠项链,10000,Necklace
幽灵项链,10000,Necklace
莲花宝镜（暗黑）,7500,Necklace
莲花宝镜（幻影）,7500,Necklace
莲花宝镜,7500,Necklace
五色项链（火）,4500,Necklace
五色项链（冰）,4500,Necklace
五色项链（雷）,4500,Necklace
五色项链（风）,4500,Necklace
五色项链,4500,Necklace
战神盔甲（男）,15000,Armour
战神盔甲（女）,15000,Armour
恶魔长袍（男）,15000,Armour
恶魔长袍（女）,15000,Armour
幽灵战衣（男）,15000,Armour
幽灵战衣（女）,15000,Armour
斗笠,4000,Helmet
翔空剑法,500,Book
莲月剑法,500,Book
空拳刀法,500,Book
月魂断玉,500,Book
冰月神掌,500,Book
冰月震天,500,Book
霹雳掌,500,Book
月魂灵波,500,Book
雷神戒指,15000,Ring
毁灭手镯,25000,Bracelet
神谕项链,15000,Necklace
昏暗封印,16500,Ring
润神戒指,15000,Ring
如来手镯,25000,Bracelet
猫眼,15000,Necklace
怨恨项链,16500,Necklace
魔幻戒指,15000,Ring
天机戒指,25000,Ring
巨龙戒指,4000,Ring
天鸣戒指,4000,Ring
火玉戒指,4000,Ring
五彩项链,12500,Necklace
遗魂项链,12500,Necklace
荣耀项链,7500,Necklace
勇士项链,12500,Necklace
行者帽,7500,Helmet
战神头盔,25000,Helmet
虎面头盔,25000,Helmet
虚空道环,20000,Ring
红叶血环,4500,Ring
六棱戒,20000,Ring
紫金环,20000,Ring
武圣之戒,25000,Ring
月光石手镯,50,Bracelet
八面太极戒指,50,Ring
魔灵戒指,17500,Ring
石榴戒指,17500,Ring
青摇戒指,15000,Ring
莲丸戒指,17500,Ring
冰沙掌,500,Book
铁系项链,17500,Necklace
追魂项链,15000,Necklace
追风项链,15000,Necklace
魔令项链,10000,Necklace
魔令手镯,17500,Bracelet
风掌,500,Book
气血项链,17500,Necklace
龙卷风,500,Book
风震天,500,Book
击风,500,Book
流星项链,20000,Necklace
毁灭魔链,25000,Necklace
回生术,500,Book
震天项链,11500,Necklace
五行神镜,25000,Necklace
银镜项链,11500,Necklace
黑皮手套,10000,Bracelet
铁炼腕,20000,Bracelet
英雄手套,25000,Bracelet
强魔震法,500,Book
月光鞋,17500,Shoes
无影靴,22500,Shoes
五彩鞋,4000,Shoes
猛虎强势,500,Book
仙云靴,20000,Shoes
武神之靴,25000,Shoes
绝地靴,17500,Shoes
幸运降妖除魔戒指,10000,Ring
草鞋,500,Shoes
皮靴,2500,Shoes
赤飞靴子,5000,Shoes
黑皮靴子,16500,Shoes
天掌靴子,10000,Shoes
帝王戒指,15000,Ring
武士手镯,1000,Bracelet
火玉手镯,25000,Bracelet
天藤头盔,4500,Helmet
