MonsterName,Image,File,AttackSound,StruckSound,DieSound,BodyShape,Portrait,AI,Level,ViewRange,CoolEye,Experience,Undead,CanPush,CanTame,AttackDelay,MoveDelay,IsBoss,Flag,CallFightPet,CallMapSummoning,DiyMoveMode,IsSlow,Index,ServerOnly,CreatTime
掷斧骷髅,SkeletonAxeThrower,None,None,None,None,33,33,7,18,5,10,100.00000,True,True,False,2500,2000,False,None,False,False,0,False,10021,False,1/1/0001 上午 12:00:00
蝎子,Scorpion,None,None,None,None,28,28,3,18,6,0,95.00000,False,True,False,2500,1500,False,None,False,False,0,False,10022,False,1/1/0001 上午 12:00:00
骷髅战士,SkeletonAxeMan,None,None,None,None,34,34,0,18,6,0,105.00000,True,True,False,2500,2000,False,None,False,False,0,False,10023,False,1/1/0001 上午 12:00:00
骷髅,Skeleton,None,None,None,None,32,32,0,18,6,0,100.00000,True,True,False,2500,2300,False,None,False,False,0,False,10024,False,1/1/0001 上午 12:00:00
骷髅战将,SkeletonWarrior,None,None,None,None,35,35,0,18,6,0,110.00000,True,True,False,2300,1800,False,None,False,False,0,False,10025,False,1/1/0001 上午 12:00:00
盔甲蚂蚁,ArmoredAnt,None,None,None,None,8,8,0,26,6,0,340.00000,False,True,False,2000,1400,False,None,False,False,0,False,10026,False,1/1/0001 上午 12:00:00
蚂蚁战士,AntSoldier,None,None,None,None,14,14,0,25,7,0,320,False,True,True,2100,1500,False,None,False,False,0,False,10027,False,1/1/0001 上午 12:00:00
蚂蚁道士,AntHealer,None,None,None,None,7,7,12,27,7,0,360,False,True,False,4000,2000,False,None,False,False,0,False,10028,False,1/1/0001 上午 12:00:00
爆毒蚂蚁,AntNeedler,None,None,None,None,96,96,7,28,8,10,380,False,True,False,2700,1800,False,None,False,False,0,False,10029,False,1/1/0001 上午 12:00:00
洞蛆,CaveMaggot,None,None,None,None,37,37,8,20,7,0,160.00000,False,True,False,2500,1600,False,None,False,False,0,False,10030,False,1/1/0001 上午 12:00:00
老道僵尸,GhostSorcerer,None,None,None,None,48,48,9,20,6,0,240.00000,True,True,False,3000,2000,False,None,False,False,0,False,10032,False,1/1/0001 上午 12:00:00
僧侣僵尸,GhostMage,None,None,None,None,49,49,10,20,6,0,220.00000,True,True,False,3000,2000,False,None,False,False,0,False,10033,False,1/1/0001 上午 12:00:00
僵尸2,VoraciousGhost,None,None,None,None,50,50,11,20,6,0,200.00000,True,True,False,3000,2000,False,None,False,False,0,False,10034,False,1/1/0001 上午 12:00:00
僵尸3,DevouringGhost,None,None,None,None,51,51,11,20,6,0,200.00000,True,True,False,3000,2000,False,None,False,False,0,False,10035,False,1/1/0001 上午 12:00:00
僵尸4,CorpseRaisingGhost,None,None,None,None,52,52,11,20,6,0,180.00000,True,True,False,3000,2000,False,None,False,False,0,False,10036,False,1/1/0001 上午 12:00:00
多脚虫,MutantFlea,None,None,None,None,145,145,0,20,9,0,180.00000,False,True,False,2200,1700,False,None,False,False,0,False,10037,False,1/1/0001 上午 12:00:00
蜘蛛娃,PoisonousMutantFlea,None,None,None,None,149,149,0,20,6,0,240.00000,False,True,True,2200,1000,False,None,False,False,0,False,10038,False,1/1/0001 上午 12:00:00
胞眼虫,BlasterMutantFlea,None,None,None,None,147,147,0,20,6,0,200.00000,False,True,False,2000,1400,False,None,False,False,0,False,10039,False,1/1/0001 上午 12:00:00
浪子人鬼,RottingGhoul,None,None,None,None,138,138,0,25,7,0,310.00000,True,True,False,1300,2000,False,None,False,False,0,False,10041,False,1/1/0001 上午 12:00:00
腐蚀人鬼,DecayingGhoul,None,None,None,None,132,132,14,25,7,0,290.00000,True,True,False,1300,2000,False,None,False,False,0,False,10042,False,1/1/0001 上午 12:00:00
骷髅弓箭手,BoneArcher,None,None,None,None,144,144,7,31,7,30,420,True,True,False,3000,1100,False,BoneArcher,False,False,0,False,10043,False,1/1/0001 上午 12:00:00
骷髅武士,BoneBladesman,None,None,None,None,143,143,0,32,6,0,440,True,True,False,2500,900,False,BoneBladesman,False,False,0,False,10044,False,1/1/0001 上午 12:00:00
骷髅武将,BoneCaptain,None,None,None,None,140,140,0,33,7,0,460,True,True,False,2500,700,False,BoneCaptain,False,False,0,False,10045,False,1/1/0001 上午 12:00:00
骷髅士兵,BoneSoldier,None,None,None,None,142,142,42,30,6,0,400,True,True,False,2500,800,False,BoneSoldier,False,False,0,False,10046,False,1/1/0001 上午 12:00:00
诺玛,NumaGrunt,None,None,None,None,128,128,0,35,7,0,500.00000,False,True,False,2000,1000,False,None,False,False,0,False,10047,False,1/1/0001 上午 12:00:00
诺玛法老,NumaMage,None,None,None,None,13,13,26,36,8,0,520,False,True,True,3500,1500,False,None,False,False,0,False,10048,False,1/1/0001 上午 12:00:00
诺玛将士,NumaElite,None,None,None,None,17,17,0,37,7,0,540.00000,False,True,True,2500,1000,False,None,False,False,0,False,10049,False,1/1/0001 上午 12:00:00
沙漠鱼魔,SandShark,None,None,None,None,94,94,25,35,7,0,500,True,True,False,2000,800,False,None,False,False,0,False,10050,False,1/1/0001 上午 12:00:00
沙漠石人,StoneGolem,None,None,None,None,4,4,27,36,7,0,520,False,True,False,3500,1500,False,None,False,False,0,False,10051,False,1/1/0001 上午 12:00:00
沙漠风魔,WindfurySorceress,None,None,None,None,97,97,28,38,7,0,560,True,True,False,2000,1100,False,None,False,False,0,False,10052,False,1/1/0001 上午 12:00:00
沙漠树魔,CursedCactus,Mon_10,None,None,None,95,95,29,35,8,0,500.00000,False,False,False,3500,0,False,None,False,False,0,False,10053,False,1/1/0001 上午 12:00:00
暗黑战士,SpinedDarkLizard,None,None,None,None,46,46,7,26,7,0,340,False,True,True,2200,1000,False,None,False,False,0,False,10054,False,1/1/0001 上午 12:00:00
粪虫,DiyMonsMon,Mon_5,None,None,None,47,47,0,25,7,0,330,False,True,False,2500,1500,False,None,False,False,0,False,10055,False,1/1/0001 上午 12:00:00
沃玛战士,UmaInfidel,None,None,None,None,41,41,0,28,7,0,360,True,True,False,2000,1100,False,None,False,False,0,False,10056,False,1/1/0001 上午 12:00:00
火焰沃玛,UmaFlameThrower,None,None,None,None,43,43,15,29,8,0,380,True,True,False,1700,1000,False,None,False,False,0,False,10057,False,1/1/0001 上午 12:00:00
角蝇,WedgeMothLarva,None,None,None,None,73,73,44,30,6,0,420,False,False,False,3000,0,False,None,False,False,0,False,10058,False,1/1/0001 上午 12:00:00
蝙蝠,LesserWedgeMoth,None,None,None,None,74,74,0,1,6,0,1.00000,False,True,False,2000,1500,False,LesserWedgeMoth,False,False,0,False,10059,False,1/1/0001 上午 12:00:00
楔蛾,WedgeMoth,None,None,None,None,75,75,8,32,7,100,440,False,True,False,2500,1000,False,None,False,False,0,False,10060,False,1/1/0001 上午 12:00:00
红野猪,RedBoar,None,None,None,None,76,76,0,34,6,0,480,True,True,False,2000,1200,False,None,False,False,0,False,10061,False,1/1/0001 上午 12:00:00
蝎蛇,ClawSerpent,None,None,None,None,79,79,0,35,7,0,500,True,True,False,2000,1000,False,None,False,False,0,False,10062,False,1/1/0001 上午 12:00:00
黑野猪,BlackBoar,None,None,None,None,77,77,0,34,6,0,480,True,True,False,2000,1000,False,None,False,False,0,False,10063,False,1/1/0001 上午 12:00:00
跳跳蜂,WasHatchling,None,None,None,None,71,71,0,34,6,0,480,False,True,False,2200,1500,False,None,False,False,0,False,10064,False,1/1/0001 上午 12:00:00
蜈蚣,Centipede,None,None,None,None,66,66,0,33,6,0,460,False,True,False,2000,1500,False,None,False,False,0,False,10065,False,1/1/0001 上午 12:00:00
钳虫,Earwig,None,None,None,None,69,69,0,36,6,0,520,False,True,True,2200,1500,False,None,False,False,0,False,10066,False,1/1/0001 上午 12:00:00
蝴蝶虫,ButterflyWorm,None,None,None,None,72,72,0,35,6,0,500,False,True,False,2000,1200,False,None,False,False,0,False,10067,False,1/1/0001 上午 12:00:00
黑色恶蛆,MutantMaggot,None,None,None,None,68,68,0,32,6,0,440,False,True,True,2000,600,False,None,False,False,0,False,10068,False,1/1/0001 上午 12:00:00
月魔蜘蛛,SpiderBat,None,None,None,None,101,101,8,35,6,100,500.00000,False,True,False,2000,1500,False,None,False,False,0,False,10069,False,1/1/0001 上午 12:00:00
幻影蜘蛛,ArachnidGazer,None,None,None,None,106,106,17,36,6,0,520,False,False,False,2500,0,False,None,False,False,0,False,10070,False,1/1/0001 上午 12:00:00
爆裂蜘蛛,Larva,None,None,None,None,105,105,18,6,6,0,1.00000,False,True,False,2500,500,False,Larva,False,False,0,False,10071,False,1/1/0001 上午 12:00:00
血巨人,RedMoonGuardian,None,None,None,None,107,107,0,40,7,0,1200,False,True,True,2000,1000,False,None,False,False,0,False,10072,False,1/1/0001 上午 12:00:00
血金刚,RedMoonProtector,None,None,None,None,108,108,0,41,7,0,1240,True,True,False,1500,1000,False,None,False,False,0,False,10073,False,1/1/0001 上午 12:00:00
花色蜘蛛,VenomousArachnid,None,None,None,None,111,111,14,37,6,0,540,False,True,True,1800,1500,False,None,False,False,0,False,10074,False,1/1/0001 上午 12:00:00
黑角蜘蛛,DarkArachnid,None,None,None,None,112,112,0,38,6,0,560,False,True,True,2000,1500,False,None,False,False,0,False,10075,False,1/1/0001 上午 12:00:00
祖玛弓箭手,ZumaSharpShooter,None,None,None,None,82,82,20,47,8,50,2200,False,True,False,2200,1000,False,ZumaArcherMonster,False,False,0,False,10076,False,1/1/0001 上午 12:00:00
祖玛雕像,ZumaFanatic,None,None,None,None,83,83,21,48,7,0,2400,True,True,False,2000,900,False,ZumaFanaticMonster,False,False,0,False,10077,False,1/1/0001 上午 12:00:00
祖玛卫士,ZumaGuardian,None,None,None,None,84,84,21,49,7,0,2600,True,True,False,2000,800,False,ZumaGuardianMonster,False,False,0,False,10078,False,1/1/0001 上午 12:00:00
大老鼠,ViciousRat,None,None,None,None,81,81,0,45,7,0,1600,False,True,False,2000,1100,False,None,False,False,0,False,10079,False,1/1/0001 上午 12:00:00
潘夜战士,Minotaur,None,None,None,None,137,137,0,46,9,0,2000,False,True,False,2000,800,False,None,False,False,0,False,10080,False,1/1/0001 上午 12:00:00
潘夜冰魔,FrostMinotaur,None,None,None,None,133,133,35,47,8,0,2200,False,True,False,2200,900,False,None,False,False,0,False,10081,False,1/1/0001 上午 12:00:00
潘夜右护卫,BanyaRightGuard,None,None,None,None,130,130,36,48,9,50,2400,False,True,False,2400,1000,False,None,False,False,0,False,10082,False,1/1/0001 上午 12:00:00
潘夜云魔,ShockMinotaur,None,None,None,None,134,134,37,47,8,0,2200,False,True,False,2200,900,False,None,False,False,0,False,10083,False,1/1/0001 上午 12:00:00
潘夜左护卫,BanyaLeftGuard,None,None,None,None,131,131,38,48,9,40,2400,False,True,False,2000,1000,False,None,False,False,0,False,10084,False,1/1/0001 上午 12:00:00
潘夜风魔,FuryMinotaur,None,None,None,None,135,135,39,47,8,0,2200,False,True,False,2200,900,False,None,False,False,0,False,10085,False,1/1/0001 上午 12:00:00
潘夜火魔,FlameMinotaur,None,None,None,None,136,136,40,47,8,0,2200,False,True,False,2200,900,False,None,False,False,0,False,10086,False,1/1/0001 上午 12:00:00
东魔神怪,EvilFanatic,None,None,None,None,156,156,0,45,7,0,1600,False,True,False,2200,800,False,None,False,False,0,False,10087,False,1/1/0001 上午 12:00:00
猿猴战士,Monkey,None,None,None,None,154,154,23,42,7,0,1300,False,True,True,1800,1000,False,None,True,False,0,False,10088,False,1/1/0001 上午 12:00:00
猿猴战将,Monkey,None,None,None,None,155,155,24,43,7,0,1400,False,True,True,1800,1000,False,None,True,False,0,False,10089,False,1/1/0001 上午 12:00:00
巨象兽,EvilElephant,None,None,None,None,158,158,25,44,7,0,1500,False,True,False,3000,2000,False,None,False,False,0,False,10090,False,1/1/0001 上午 12:00:00
西魔神怪,CannibalFanatic,None,None,None,None,157,157,7,45,7,0,1600,False,True,False,1000,800,False,None,False,False,0,False,10091,False,1/1/0001 上午 12:00:00
亡灵武士,BoneBladesman,None,None,None,None,143,143,0,90,7,50,1000.00000,False,True,False,1600,700,False,None,False,False,0,False,10092,False,1/1/0001 上午 12:00:00
亡灵弓箭手,BoneArcher,None,None,None,None,144,144,7,90,7,50,1000.00000,False,True,False,1600,700,False,None,False,False,0,False,10093,False,1/1/0001 上午 12:00:00
亡灵士兵,BoneSoldier,None,None,None,None,142,142,0,90,7,50,1000.00000,False,True,False,1600,700,False,None,False,False,0,False,10094,False,1/1/0001 上午 12:00:00
黑度紫红女神,PinkGoddess,None,None,None,None,162,162,46,51,8,0,4200,False,True,False,1200,1300,False,None,False,False,0,False,10098,False,1/1/0001 上午 12:00:00
黑度绿荫女神,GreenGoddess,None,None,None,None,163,163,47,51,8,0,4200,False,True,False,1200,1300,False,None,False,False,0,False,10099,False,1/1/0001 上午 12:00:00
武力神将,MutantCaptain,None,None,None,None,161,161,48,53,8,0,4600,False,True,False,1500,1600,False,None,False,False,0,False,10100,False,1/1/0001 上午 12:00:00
犬猴魔,CorpseStalker,None,None,None,None,12,12,0,48,9,0,6000,True,True,False,1100,800,False,None,False,False,0,False,10101,False,1/1/0001 上午 12:00:00
轻甲守卫,LightArmedSoldier,None,None,None,None,6,6,0,50,9,30,6200,True,True,True,1800,1000,False,None,False,False,0,False,10102,False,1/1/0001 上午 12:00:00
爆毒神魔,CorrosivePoisonSpitter,None,None,None,None,93,93,56,52,10,30,6800,True,True,False,1800,1500,False,None,False,False,0,False,10103,False,1/1/0001 上午 12:00:00
神舰守卫,PhantomSoldier,None,None,None,None,99,99,0,55,9,30,7400,True,True,False,2500,1000,False,None,False,False,0,False,10104,False,1/1/0001 上午 12:00:00
触角神魔,MutatedOctopus,None,None,None,None,2,2,57,51,10,30,6600,True,True,False,1400,1300,False,None,False,False,0,False,10105,False,1/1/0001 上午 12:00:00
恶形鬼,AquaLizard,None,None,None,None,92,92,0,50,9,30,6400,True,True,False,1800,1300,False,None,False,False,0,False,10106,False,1/1/0001 上午 12:00:00
海神将领,Stomper,None,None,None,None,9,9,58,53,9,0,7000,True,True,False,1600,1200,False,None,False,False,0,False,10107,False,1/1/0001 上午 12:00:00
红衣法师,CrimsonNecromancer,None,None,None,None,19,19,59,54,10,30,7200,True,True,False,2200,1500,False,None,False,False,0,False,10108,False,1/1/0001 上午 12:00:00
异界之门,NetherWorldGate,None,None,None,None,0,0,30,100,9,100,0,False,False,False,0,0,False,None,False,False,0,False,10109,False,1/1/0001 上午 12:00:00
地牢紫红女神,PinkGoddess,None,None,None,None,162,162,46,52,8,0,4400,False,True,False,1200,1300,False,None,False,False,0,False,10110,False,1/1/0001 上午 12:00:00
石像狮子,StoneGriffin,None,None,None,None,160,160,49,48,9,30,4000,False,True,True,1900,1500,False,None,False,False,0,False,10111,False,1/1/0001 上午 12:00:00
武力魔神将,MutantCaptain,None,None,None,None,161,161,48,53,9,0,4600,False,True,False,1500,1600,False,None,False,False,0,False,10112,False,1/1/0001 上午 12:00:00
火焰狮子,FlameGriffin,None,None,None,None,159,159,50,50,9,30,4000,False,True,False,2000,1500,False,None,False,False,0,False,10113,False,1/1/0001 上午 12:00:00
诺玛骑兵,NumaCavalry,None,None,None,None,180,180,33,60,10,30,8800,False,True,False,1100,600,False,None,False,False,0,False,10114,False,1/1/0001 上午 12:00:00
诺玛司令,NumaHighMage,None,None,None,None,184,184,62,58,10,30,8400,True,True,False,1000,900,False,None,False,False,0,False,10115,False,1/1/0001 上午 12:00:00
诺玛抛石兵,NumaStoneThrower,None,None,None,None,183,183,63,57,10,30,8200,False,True,False,1100,700,False,None,False,False,0,False,10116,False,1/1/0001 上午 12:00:00
诺玛斧兵,NumaRoyalGuard,None,None,None,None,185,185,48,56,10,30,8000,False,True,False,1000,1000,False,None,False,False,0,False,10117,False,1/1/0001 上午 12:00:00
诺玛装甲兵,NumaArmoredSoldier,None,None,None,None,181,181,64,59,11,30,8600,False,True,False,1300,800,False,None,False,False,0,False,10118,False,1/1/0001 上午 12:00:00
变异刺骨蜥,SawToothLizard,None,None,None,None,192,192,0,62,10,30,9400,False,True,False,1000,800,False,None,False,False,0,False,10143,False,1/1/0001 上午 12:00:00
变异迅猛蜥,RagingLizard,None,None,None,None,191,191,0,60,8,30,9000,False,True,True,950,600,False,None,False,False,0,False,10144,False,1/1/0001 上午 12:00:00
变异丑蜥,MutantLizard,None,None,None,None,193,193,0,61,9,30,9200,False,True,False,1000,800,False,None,False,False,0,False,10145,False,1/1/0001 上午 12:00:00
变异毒蜥,VenomSpitter,None,None,None,None,194,194,14,64,10,30,9800,False,True,False,1000,800,False,None,False,False,0,False,10146,False,1/1/0001 上午 12:00:00
魔石咆哮者,SonicLizard,None,None,None,None,195,195,31,65,9,30,10000,False,True,False,1000,800,False,None,False,False,0,False,10147,False,1/1/0001 上午 12:00:00
魔石狂热者,GiantLizard,None,None,None,None,196,196,33,65,11,50,10000,False,True,False,1000,800,False,None,False,False,0,False,10148,False,1/1/0001 上午 12:00:00
变异利爪蜥,CrazedLizard,None,None,None,None,199,199,34,63,11,30,9600,False,True,False,1000,800,False,None,False,False,0,False,10149,False,1/1/0001 上午 12:00:00
地牢绿荫女神,GreenGoddess,None,None,None,None,163,163,47,52,9,0,3800,False,True,False,1200,1000,False,None,False,False,0,False,10160,False,1/1/0001 上午 12:00:00
黑狼,Wolf,None,None,None,None,65,65,3,15,9,0,150.00000,False,True,False,2000,1300,False,None,False,False,0,False,10222,False,1/1/0001 上午 12:00:00
红蛇,RedSnake,Mon_6,None,None,None,54,54,0,15,9,0,70.00000,False,True,False,2300,1300,False,None,False,False,0,False,10610,False,1/1/0001 上午 12:00:00
半兽剑士,SDMob7,Mon_29,None,None,None,288,288,0,15,9,0,80.00000,False,True,False,2500,1500,False,None,False,False,0,False,10611,False,1/1/0001 上午 12:00:00
半兽法师,OmaMage,Mon_29,None,None,None,289,289,0,15,9,0,80.00000,False,True,False,2500,1800,False,None,False,False,0,False,10612,False,1/1/0001 上午 12:00:00
劳动蚂蚁,DiyMonsMon,Mon_28,None,None,None,273,273,0,25,9,0,260.00000,False,True,False,2300,1600,False,None,False,False,0,False,10614,False,1/1/0001 上午 12:00:00
半兽勇士,OmaHero,None,None,None,None,24,24,0,50,9,100,10000,False,True,False,1500,1000,True,None,False,False,0,False,20001,False,1/1/0001 上午 12:00:00
巨型多角虫,SpikedBeetle,None,None,None,None,64,64,0,52,9,100,11200,True,True,False,1200,1000,True,None,False,False,0,False,20002,False,1/1/0001 上午 12:00:00
骷髅精灵,SkeletonLord,None,None,None,None,36,36,0,54,9,100,12400,False,True,False,1500,1000,True,None,False,False,0,False,20003,False,1/1/0001 上午 12:00:00
尸王,GhoulChampion,None,None,None,None,53,53,0,55,9,100,13000,False,True,False,1500,1000,True,None,False,False,0,False,20004,False,1/1/0001 上午 12:00:00
蚂蚁将军,ArmoredAnt,None,None,None,None,8,8,0,56,9,100,13600,False,True,False,1500,1000,True,None,False,False,0,False,20005,False,1/1/0001 上午 12:00:00
红甲虫,PoisonousMutantFlea,None,None,None,None,149,149,0,56,9,100,13600,False,True,False,1500,1000,True,None,False,False,0,False,20006,False,1/1/0001 上午 12:00:00
沃玛卫士,UmaAnguisher,None,None,None,None,44,44,0,60,9,100,16000,True,True,False,1500,1000,True,None,False,False,0,False,20007,False,1/1/0001 上午 12:00:00
邪恶钳虫,IronLance,None,None,None,None,70,70,0,62,10,100,16800,False,True,False,1500,1000,True,None,False,False,0,False,20008,False,1/1/0001 上午 12:00:00
白野猪,TuskLord,None,None,None,None,78,78,0,70,10,100,22000,True,True,False,1500,1000,True,None,False,False,0,False,20009,False,1/1/0001 上午 12:00:00
骨鬼将,BoneCaptain,None,None,None,None,140,140,0,70,10,100,22000,True,True,False,1500,1000,True,SkeletonEnforcer,False,False,0,False,20010,False,1/1/0001 上午 12:00:00
八脚首领,DarkArachnid,None,None,None,None,112,112,0,75,10,100,25000,False,True,False,1500,1000,True,None,False,False,0,False,20011,False,1/1/0001 上午 12:00:00
僵尸鬼,BloodThirstyGhoul,None,None,None,None,42,42,0,65,10,100,19000,True,True,False,2100,1000,True,None,False,False,0,False,20012,False,1/1/0001 上午 12:00:00
吸血鬼,BloodThirstyGhoul,None,None,None,None,42,42,0,65,12,100,19000,True,True,False,1800,1000,True,None,False,False,0,False,20013,False,1/1/0001 上午 12:00:00
大法老,NumaMage,None,None,None,None,13,13,26,78,10,100,26800,False,True,False,1500,1000,True,None,False,False,0,False,20014,False,1/1/0001 上午 12:00:00
神鬼王,RedMoonProtector,None,None,None,None,108,108,0,80,10,100,28000,False,True,False,1500,1000,True,None,False,False,0,False,20015,False,1/1/0001 上午 12:00:00
护法天,ZumaGuardian,None,None,None,None,84,84,21,80,10,100,28000,True,True,False,1400,1000,True,ZumaKeeperMonster,False,False,0,False,20016,False,1/1/0001 上午 12:00:00
潘夜鬼将,Minotaur,None,None,None,None,137,137,0,80,10,100,28000,False,True,False,1500,1000,True,None,False,False,0,False,20017,False,1/1/0001 上午 12:00:00
疯狂魔神盗,EvilFanatic,None,None,None,None,157,157,0,80,10,100,28000,False,True,False,1500,1000,True,None,False,False,0,False,20018,False,1/1/0001 上午 12:00:00
黑度首将,MutantCaptain,None,None,None,None,161,161,48,85,10,100,31000,False,True,False,1500,1000,True,None,False,False,0,False,20019,False,1/1/0001 上午 12:00:00
霸王守卫,ChaosKnight,None,None,None,None,10,10,60,90,11,100,68000,True,True,False,1500,1000,True,None,False,False,0,False,20020,False,1/1/0001 上午 12:00:00
震天首将,MutantCaptain,None,None,None,None,161,161,48,86,10,100,31600,False,True,False,1500,1000,True,None,False,False,0,False,20021,False,1/1/0001 上午 12:00:00
诺玛突击队长,NumaRoyalGuard,None,None,None,None,185,185,48,88,11,100,32800,False,True,False,1200,400,True,None,False,False,0,False,20022,False,1/1/0001 上午 12:00:00
魔石守护神,TaintedTerror,None,None,None,None,197,197,0,90,13,100,34000,False,True,False,1200,700,True,None,False,False,0,False,20023,False,1/1/0001 上午 12:00:00
沃玛教主,UmaKing,None,None,None,None,45,84,16,100,12,100,200000,True,True,False,1500,1000,True,None,False,False,0,False,30001,False,1/1/0001 上午 12:00:00
骷髅教主,ArchLichTaedu,None,None,None,None,141,141,43,105,15,100,235000,True,True,False,1500,1000,True,None,False,False,0,False,30002,False,1/1/0001 上午 12:00:00
触龙神,LordNiJae,None,None,None,None,67,67,13,110,5,100,270000,False,False,False,1600,0,True,None,False,False,0,False,30003,False,1/1/0001 上午 12:00:00
超级黑野猪,RazorTusk,None,None,None,None,150,150,45,115,12,100,305000,False,True,False,900,600,True,None,False,False,0,False,30004,False,1/1/0001 上午 12:00:00
赤月恶魔,RedMoonTheFallen,None,None,None,None,104,104,19,120,15,100,340000,True,False,False,1500,0,True,None,False,False,0,False,30005,False,1/1/0001 上午 12:00:00
潘夜牛魔王,EmperorSaWoo,None,None,None,None,139,139,41,125,12,100,375000,True,True,False,1200,700,True,None,False,False,0,False,30006,False,1/1/0001 上午 12:00:00
祖玛教主,ZumaKing,None,None,None,None,85,85,22,130,12,100,410000,True,True,False,1500,1000,True,None,False,False,0,False,30007,False,1/1/0001 上午 12:00:00
霸王教主,PachonTheChaosBringer,None,None,None,None,120,120,61,180,12,100,1520000,True,True,False,800,800,True,None,False,False,0,False,30009,False,1/1/0001 上午 12:00:00
震天魔神,JinchonDevil,None,None,None,None,164,164,78,155,12,100,585000,True,True,False,1500,800,True,None,False,False,0,False,30010,False,1/1/0001 上午 12:00:00
地天灭王,DeathLordJichon,None,None,None,None,198,198,0,190,10,100,830000,False,True,False,650,700,True,None,False,False,0,False,30011,False,1/1/0001 上午 12:00:00
黑度魔神,JinchonDevil,None,None,None,None,164,164,78,150,12,100,550000,True,True,False,1500,800,True,None,False,False,0,False,30012,False,1/1/0001 上午 12:00:00
诺玛教主,DiyMonsMon,None,None,None,None,186,186,70,200,12,100,900000,False,True,False,700,800,True,None,False,False,0,False,30016,False,1/1/0001 上午 12:00:00
卫士,Guard,None,None,None,None,26,0,-1,150,9,0,1.00000,False,False,False,2500,0,False,None,False,False,0,False,40002,False,1/1/0001 上午 12:00:00
沙巴克城门1,SabukPrimeGate,Mon_54,None,None,None,530,0,1000,125,7,0,1.00000,False,True,False,2500,0,False,None,False,False,0,False,40005,False,1/1/0001 上午 12:00:00
